rule_id,source,rule_name,description,condition,severity,action,classification,rationale
DQ_311_007,nyc_311,Very Long Resolution Duration,Resolution times longer than 365 days require investigation but are not automatically invalid.,closed_date IS NOT NULL AND closed_date - created_date > 365 days,Warning,Flag and Retain,CANDIDATE_ANOMALY,"Observed 5,022 records."
DQ_311_008,nyc_311,311 Schema Mismatch,Required 311 fields must exist before downstream processing.,required 311 field missing OR incompatible schema prevents parsing,Critical,Fail Run,PIPELINE_CONTROL,No monthly field-set differences were observed in 2025; rule protects incremental loads.
DQ_WEATHER_001,open_meteo_weather,Missing Expected Hour,The 2025 hourly weather series must have one observation for every expected hour.,expected hourly timestamp absent from 2025 hourly grid,Critical,Fail Run,PIPELINE_CONTROL,"Observed 0 missing hours across 8,760 expected timestamps."
DQ_WEATHER_002,open_meteo_weather,Duplicate Weather Timestamp,Duplicate weather timestamps would create one-to-many joins against hour-grain analytical data.,hourly timestamp occurs more than once,Critical,Quarantine and Fail Run,DEFINITELY_INVALID,Observed 0 duplicate timestamps.
DQ_WEATHER_003,open_meteo_weather,Invalid Weather Measurement,Physically impossible weather measurements must not enter analytical joins.,humidity < 0 OR humidity > 100 OR precipitation < 0 OR rain < 0 OR snowfall < 0 OR wind_speed_10m < 0 OR wind_gusts_10m < 0,High,Quarantine,DEFINITELY_INVALID,Observed 0 records for all profiled physical-range checks.
DQ_WEATHER_004,open_meteo_weather,Weather Timestamp Outside 2025,Weather timestamps must remain on the expected 2025 hourly grid.,time < '2025-01-01 00:00:00' OR time > '2025-12-31 23:00:00',Critical,Quarantine,DEFINITELY_INVALID,Observed 0 unexpected timestamps.
DQ_WEATHER_005,open_meteo_weather,Weather Schema Mismatch,All required hourly variables and equal-length arrays must be present for each month.,required hourly key missing OR hourly arrays have inconsistent lengths,Critical,Fail Run,PIPELINE_CONTROL,Observed 0 monthly schema problems.
DQ_ZONE_001,tlc_taxi_zones,Missing Zone Identifier,LocationID is required as the natural key for Taxi Zone enrichment.,LocationID IS NULL,Critical,Fail Run,PIPELINE_CONTROL,Observed 0 records.
DQ_ZONE_002,tlc_taxi_zones,Duplicate Zone Identifier,LocationID must be unique to prevent ambiguous zone joins.,LocationID occurs more than once,Critical,Fail Run,PIPELINE_CONTROL,Observed 0 duplicate LocationID rows.
DQ_ZONE_003,tlc_taxi_zones,Missing Zone Name,A populated zone label is required for reporting and dimensional enrichment.,Zone is empty after preserving literal source values such as 'N/A',High,Fail Run,PIPELINE_CONTROL,Observed 0 true missing zone names after keep_default_na=False.
DQ_ZONE_004,tlc_taxi_zones,Special Taxi Zone Reference Values,"TLC special reference values such as Unknown, N/A, and Outside of NYC are valid source labels and must not be converted to nulls.",LocationID in known special-reference rows such as 264 or 265,Info,Retain as Source Reference,REFERENCE_SPECIAL_CASE,Observed 2 special-reference rows; preserve literally.
DQ_ZONE_005,tlc_taxi_zones,Taxi Zone Schema Mismatch,Expected Taxi Zone lookup columns must be present before enrichment.,"schema differs from LocationID, Borough, Zone, service_zone",Critical,Fail Run,PIPELINE_CONTROL,Expected schema matched during profiling.
